hymn	stanza	line	offset	pronoun	page	zh
215	3	1	3	祢	227	全都被祢所除盡；
217	1-chorus	3	0	祢	229	祢就顯現能手。
217	4	1	2	祢	230	祝福祢的話語；
217	4	2	2	祢	230	但願祢道所有眞理，
217	5	1	2	祢	230	證明祢的得勝；
219	2	1	0	你	232	你是否對明天憂慮？
219	2-chorus	3	3	你	232	好平靜你的心思，
219	2-chorus	4	3	你	232	好充滿你的空虛。
221	1	1	4	你	234	基督曾爲你捨命，
221	1	5	4	你	234	並聖靈將你聖別，
224	1	0	5	祢	237	哦，父神！祢是生命之源，
224	2-chorus	1	1	祢	237	藉祢活話而合一。
224	3-chorus	0	4	祢	237	祢榮耀，祢榮耀，
224	3-chorus	2	0	祢	237	祢榮耀，祢榮耀，
230	2	2	3	祢	244	更多向祢來求呼，
230	2	3	0	祢	244	祢這充滿萬有主。
235	4	6	5	祢	250	好使我們爲祢意旨，
236	1	1	2	祢	250	就是祢的居所，
239	5	0	8	祢	254	主，錫安等候讚美祢，
239	5	2	8	祢	254	主，錫安等候讚美祢，
242	4	0	4	祢	258	主，爲着祢敎會，
246	1	2	6	你	263	其中敎訓爲着你我，
246	12	3	2	祢	264	滿足祢心，充滿生命。
246	17	1	1	祢	264	在祢路上步步引導；
247	2	1	3	你	266	主讚賞你的行爲。
247	3	0	0	你	266	你這蒙愛非拉鐵非，
247	3	7	4	你	266	免得人奪你冠冕。”
250	3	4	6	祢	269	罪、死、陰府祢毀盡，
250	3	6	1	祢	269	因祢是我的生命，
250	4	1	3	祢	270	承認與祢同盡，
250	4	2	3	祢	270	我也與祢同復活，
251	1	0	6	祢	270	我今受浸，是祢旨意，
251	4	1	1	祢	270	因祢已經勝過墳墓；
251	6	3	1	祢	270	爲祢尊名，雖苦亦甜。
253	1	1	5	祢	272	我們蒙召與祢坐席，
253	1	2	3	祢	272	永遠與祢住父家裏。
253	2	0	4	祢	272	哦，主，祢筵席何等享受！
253	3	1	4	祢	272	餅杯陳明祢的受死，
253	3	3	7	祢	272	主，乃藉着吃喝祢筵席。
253	5	0	2	祢	272	主，祢筵席使我們舒暢！
254	2	2	11	祢	273	我們吃餅，表明一同領受祢，
255	1	3	5	祢	274	現今來記念祢。
255	2	0	0	祢	274	祢的身體爲我裂開，
255	2	3	5	祢	274	爲的是記念祢。
255	4	3	5	祢	274	我必須記念祢。
257	2	1	6	祢	276	帶領我們親近祢；
257	3	7	4	祢	276	同有分於祢身體。
257	4	6	7	祢	276	不久我們將朝見祢，
258	2	1	1	祢	277	但祢爲我們茹；
258	2	3	1	祢	277	但祢爲我們沉；
259	2	3	1	祢	278	並祢所賜恩典。
259	5	2	5	祢	278	等到那日與祢再席，
259	6	1	2	祢	278	穿上祢的榮形；
261	2	3	6	祢	280	主，我們感謝祢。
261	3	1	4	祢	280	舉目仰望祢救恩，
261	3	2	5	祢	280	藉着信心近祢身，
261	4	1	4	祢	280	要我記念祢行徑——
261	5	0	2	祢	280	爲着祢曾用慈愛，
261	5	3	6	祢	280	主，我們感謝祢。
261	6	3	6	祢	280	主，我們感謝祢。
265	4	3	1	祢	282	與祢同行，隨祢行動。
267	7	3	5	祢	284	分享祢樂，祢憩，祢榮。
268	2	3	1	祢	285	將祢聖名高舉；
268	3	7	1	祢	285	在祢愛中歡欣。
269	4	0	2	祢	286	主，祢使我完全成聖，
270	6	0	7	祢	288	主，流過我，用祢那無比、完全
271	4	3	1	祢	288	使祢榮耀顯完全！
277	1	3	5	祢	294	並使他們與祢永遠相聯。
278	1	3	0	祢	295	祢裏合而爲一。
278	3	3	2	祢	295	仍在祢裏合一。
294	4	2	2	祢	311	宣佈祢爲罪人救星，
294	6	1	0	祢	311	祢的憐憫是我誇耀：
303	1	6	0	祢	321	祢血和義，我們所需，
312	1-chorus	0	0	祢	331	祢屬我，
325	1-chorus	3	6	你	346	“我永不離棄你，”耶穌屬我。
336	1	0	0	祢	357	祢裏完全，親愛救主，
336	4	0	6	祢	357	親愛救主，在祢面前，
348	2	2	0	祢	370	祢的溫柔滿了降服能力，
349	1-chorus	0	3	祢	372	讓我愛祢，救主！我心所喜所慕，
349	2	1	0	祢	372	祢愛所作的一切；
349	3	4	3	祢	372	但若無祢，人生乏味，
350	2	0	3	祢	373	我心愛祢，不知如何
354	1	0	5	祢	376	恩主，我愛祢，我深知祢屬我；
354	1	2	0	祢	376	祢是我救主，曾流血將我買；
354	1	3	4	祢	376	如果我愛祢，主耶穌，是現在！
354	3	1	4	祢	376	並要讚美祢，只要祢給氣息。
355	2	5	6	祢	378	我們的最愛是祢。
358	3	2	2	祢	380	主，祢使者何美！
359	1	6	4	祢	382	高唱我愛祢，
361	3	0	5	祢	384	活的神哪，祢是我神，
364	2	1	5	祢	387	凡求祢者，祢都提挈：
365	1	5	0	祢	388	祢是純潔無限愛；
365	3	7	2	祢	388	誇耀祢愛永無已。
365	4	2	0	祢	388	祢大救恩我全享到，
368	2	3	3	祢	391	完全爲祢而活。
368	5	2	6	祢	391	作祢奴僕，行祢旨意，
369	4	3	6	祢	392	或陰或晴，求祢與我同住。
371	1	0	5	祢	394	我每時刻需祢，
371	1	2	5	祢	394	無人柔聲似祢，
371	1-chorus	0	2	祢	394	我需祢，主，我需祢，
371	1-chorus	1	5	祢	394	每時刻我需祢；
371	2	1	1	祢	394	求祢來臨；
371	4	0	5	祢	394	我每時刻需祢，
372	1	3	0	祢	395	祢所是和道路。
373	6	1	5	祢	396	願我如此隨祢，
374	2	0	0	祢	396	祢這擘開之餅，
376	1	4	6	祢	398	長久渴慕享受祢，
376	1	5	2	祢	398	飽嘗祢的豐富，
377	3	1	6	祢	399	主，此心轉向祢；
377	3	4	7	祢	399	主，我們全心歸祢，
378	1	0	4	祢	400	願所見惟祢，主，我祈求，
378	1	2	7	祢	400	雖行經幽谷，有祢引領，
378	1-chorus	3	0	祢	400	祢聖潔形像從我裏映出。
381	2	0	6	祢	403	我心一旦嘗着祢愛，
381	3	4	1	祢	403	用祢永遠的愛愛我，
381	5	0	2	祢	403	直到祢來領我回家，
383	1	3	8	祢	405	在感覺、或思想無祢的事物。
383	2	1	6	祢	406	親愛主，我求祢，必須也在內！
383	4	4	9	祢	406	主，求祢敎訓我活在祢面前，
387	1	2	1	祢	409	在祢身邊我穩固，
387	1	3	1	祢	409	在祢愛裏我居住。
390	1	1	1	祢	412	知祢愛我的無匹；
390	2	0	7	祢	412	靠着祢恩典，求祢分別我，
390	2	3	4	祢	412	我志消失祢旨裏。
390	4	3	4	祢	412	除非安息祢面前。
391	1	4	0	祢	413	祢當賜南針圖狀，
391	1	5	2	祢	413	主，祢作我的領港。
391	2	5	2	祢	413	主，祢作我的領港。
393	2	0	0	祢	415	祢這生命種子，
393	7	3	8	祢	416	藉此帶下國度，受祢管轄——
396	1	1	8	祢	418	爲祢名更熱心，向祢話更信；
396	1	2	1	祢	418	對祢憂更關心，因祢苦更貧；
396	2	1	8	祢	418	在祢手更有用，對祢仇更勇，
396	3	1	9	祢	418	更愛慕祢再來，更想祢同在，
397	1-chorus	2	1	祢	419	像祢的甘甜，像祢的貞堅，
397	1-chorus	2	7	祢	419	像祢的甘甜，像祢的貞堅，
397	1-chorus	3	7	祢	419	在我的衷心，刻祢形像。
397	5	0	5	祢	419	哦，我要像祢！正當我祈求，
398	1	4	4	祢	420	從我活出祢的自己，
398	1	7	4	祢	420	爲着彰顯祢祕密。
398	2	7	4	祢	420	今後只被祢加力。
398	3	2	3	祢	420	準備爲祢前來負軛，
398	4	7	1	祢	420	求祢以祢爲答應。
398	4	7	3	祢	420	求祢以祢爲答應。
399	1-chorus	2	5	祢	421	不然，我怕祢的喜悅，
400	2	1	9	祢	422	正當風雨蔽空，指示祢路。
401	1	1	2	祢	423	我要祢時刻活在我的魂間，
401	5	2	2	祢	423	凡向祢求的，祢永不會不睬，
401	5	2	6	祢	423	凡向祢求的，祢永不會不睬，
402	5	2	6	祢	424	使我蒙恩被帶祢前，
404	4	0	3	祢		我尋求祢同在，
404	4	3	1	祢		供祢居住、安息。
406	1-chorus	1	1	祢	427	賜祢聖靈的富有。
408	3	1	1	祢	429	求祢爲我全拋棄；
408	3	2	5	祢	429	使我意志服祢的，
408	6	3	4	祢	429	但我等候祢顯現。
409	4	2	4	祢	430	哦，我求祢把它割棄，
409	7	3	3	你	430	“我是你愛、你命、你主；”
409	7	3	6	你	430	“我是你愛、你命、你主；”
409	7	3	9	你	430	“我是你愛、你命、你主；”
410	1	0	7	祢	431	耶穌我救主，是祢感動我心，
410	3	1	4	祢	431	完全的愛祢，單純順服祢——
410	3	1	10	祢	431	完全的愛祢，單純順服祢——
414	1	2	1	祢	435	被祢吸引，我心感戴，
414	1	5	8	祢	435	完全獻上，單單歸祢。
415	2	0	5	祢	436	讚美我主，祢已潔淨我罪，
415	2	3	8	祢	436	我只渴慕能夠榮耀祢名。
416	1	0	2	祢	437	主，祢愛的光正在照耀，
417	3	0	1	祢	438	願祢旨意得成全；
417	3	1	1	祢	438	使祢旨成我心願；
417	3	3	2	祢	438	賜下祢完全平安。
418	5	0	1	祢	439	在祢面前我只萎縮，
418	8	1	0	祢	439	祢的生命免我銷毀，
420	6	0	0	祢	441	祢是我的惟一安慰，
422	3	4	5	祢	443	願我全人聽祢使令，
423	1	0	2	你	444	“爲你，我流寶血，
423	1	1	1	你	444	爲你，我舍生命，
423	1	4	1	你	444	爲你，爲你，我舍生命，
